speed,time,axis_x/Name,axis_x/Value,axis_y/Value,axis_y/Name,axis_z/Value,axis_z/Name,latitude,longitude,eco_type/Name,eco_type/Value
21,"May 29, 2022",Axis X,-489,-373,Axis Y,-1953,Axis Z,511052400,714306716,Green driving type,1
21,"May 29, 2022",Axis X,-489,-373,Axis Y,-1953,Axis Z,511052400,714306716,Green driving type,1
21,"May 29, 2022",Axis X,-489,-373,Axis Y,-1953,Axis Z,511052400,714306716,Green driving type,1
21,"May 29, 2022",Axis X,-489,-373,Axis Y,-1953,Axis Z,511052400,714306716,Green driving type,1
21,"May 29, 2022",Axis X,-489,-373,Axis Y,-1953,Axis Z,511052400,714306716,Green driving type,1
21,"May 29, 2022",Axis X,-489,-373,Axis Y,-1953,Axis Z,511052400,714306716,Green driving type,1
21,"May 29, 2022",Axis X,-489,-373,Axis Y,-1953,Axis Z,511052400,714306716,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
13,"May 29, 2022",Axis X,-664,-397,Axis Y,-1885,Axis Z,511050583,714305550,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
17,"May 29, 2022",Axis X,-478,-562,Axis Y,-1999,Axis Z,511047583,714308199,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
16,"May 29, 2022",Axis X,-591,-430,Axis Y,-1815,Axis Z,511047216,714308250,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
17,"May 29, 2022",Axis X,-688,-461,Axis Y,-1898,Axis Z,511046850,714308283,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
30,"May 29, 2022",Axis X,-312,-275,Axis Y,-2004,Axis Z,511045900,714308033,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
